diag_id,context,curr_audio_id,res_audio_id,curr_text,res_text,curr_emotion,curr_speed,curr_volume,res_emotion,res_speed,res_volume
work_176,"A : So, I just finished up that project we've been working on for weeks, feel pretty good about it! B : That's awesome, congrats! I knew you'd nail it eventually. A : I am thinking to take a day off and celebrate this big win, maybe hit the beach or something!",work_176/c_0.wav,work_176/r_0.wav,B: Should we discuss the new project brief today or push it to tomorrow?  ,"  Well, if we could look at it tomorrow, that'd give me some time to recharge and come back fresh.",neutral,normal,normal,friendly,normal,normal
family_54,"A : So, how was the reunion with your family? B : It was emotional to see everyone after such a long time... A : It's always a mix of feelings, isn't it? Reunions can be quite the roller coaster.",family_54/c_0.wav,family_54/r_0.wav,"B: Yeah, there were a lot of catching up to do.  ","  That's for sure, it must've been quite the chatter fest!",neutral,normal,normal,neutral,normal,normal
finance_423,"A : I can't believe my credit card got declined again. B : Don't worry, it happens to the best of us. Maybe it's just a temporary bank error. A : No, there's definitely something wrong with their system, and I can't keep going through this!",finance_423/c_1.wav,finance_423/r_1.wav,B: Maybe checking your bank statement might help clear things up.  ,"  Oh! That's a great idea, I didn't think of that! I'll check it out right away!",cheerful,fast,loud,friendly,fast,normal
music_463,"A : I can't believe you just turned off that song, it was my favorite! B : Oh, I didn't know, sorry about that. I thought we were trying different genres, that's all. A : Huh, okay. Maybe I overreacted, but music is just really important to me.",music_463/c_2.wav,music_463/r_2.wav,B: Do you want to pick the next song then?  ,"  Yeah, I would love that, thanks! How about some indie folk this time?",friendly,normal,normal,cheerful,normal,normal
technology_210,"A : So, have you seen the latest smartwatch features? It's incredible how much they can do now! B : Yeah, the battery life improvements alone are pretty impressive. A : I know, right? And syncing with other devices is just seamless now!",technology_210/c_2.wav,technology_210/r_2.wav,B: I wonder how secure the data sharing is though.  ,"  Oh, they're on it! Latest update talks about state-of-the-art security protocols!",cheerful,fast,loud,cheerful,fast,normal
family_410,"A : So, how was the family reunion last weekend? B : It was a bit overwhelming, honestly. I hadn't seen some of them in years. A : Well, at least you got to catch up with everyone, right?",family_410/c_2.wav,family_410/r_2.wav,"B: Yeah, catching up was good.  ",  It's always a mix of feelings at those gatherings. Hope something positive came out of it?,friendly,slow,quiet,friendly,slow,normal
sport_514,"A : Did you catch the game last night? What a spectacular match! B : Oh I sure did, the final score was totally unexpected, wasn't it? Amazing performance! A : Yeah! I was on the edge of my seat the entire time. The last-minute goal was insane!",sport_514/c_2.wav,sport_514/r_2.wav,B: It's interesting to see how the team has evolved this season.  ,"  Absolutely, I hope these changes push them all the way to the finals this year.",friendly,slow,normal,friendly,normal,normal
health_398,"A : I finally hit my goal of running five miles every day, feeling great! B : That's really awesome, you must be thrilled with your progress! A : Absolutely, it’s like I’ve got this endless energy now, you know?",health_398/c_2.wav,health_398/r_2.wav,"B: Yeah, maintaining a daily workout routine does wonders for overall health.  ","  Yeah, absolutely, hoping to keep up with it and stay healthy.",friendly,slow,quiet,friendly,normal,normal
travel_596,"A : I just can't wait to hit the beach and soak up some sun! B : Oh, that sounds amazing, I'm all for a week of nothing but sand and waves. A : But I heard the weather forecast, and it might rain during our trip.",travel_596/c_2.wav,travel_596/r_2.wav,"B: Well, we can always find something else to do if it rains.  ","  That's the spirit, nothing's going to stop us from enjoying our time, right?",friendly,slow,quiet,friendly,normal,quiet
travel_349,"A : Man, I just booked us a weekend getaway to Niagara Falls! B : That's amazing! I've always wanted to see the waterfalls and try the boat tours. A : It's going to be so relaxing, and I even got a hotel room with a view of the falls!",travel_349/c_1.wav,travel_349/r_1.wav,B: I hope the weather holds up for the trip.  ,"  Oh, it's supposed to be clear skies all weekend, so we've got good odds!",neutral,normal,normal,friendly,normal,normal
game_137,"A : I completely smashed the high score on that new arcade game downtown! B : No way, that's awesome! You've gotta teach me your tricks next time. A : Absolutely, I've picked up some neat strategies that could help.",game_137/c_0.wav,game_137/r_0.wav,B: So when do you want to head out to the arcade again?  ,  Maybe this Saturday? I'll clear my schedule for a gaming marathon!,neutral,normal,normal,cheerful,normal,normal
shopping_321,"A : I got the most amazing deals at the mall today! B : Oh wow, that's fantastic! What did you find? A : You won't believe it, I found a pair of designer shoes at half price!",shopping_321/c_2.wav,shopping_321/r_2.wav,B: That sounds like a pretty successful shopping trip.  ,"  Absolutely, and I wish I could find more deals like these! Let's go together next time!",friendly,fast,loud,cheerful,normal,normal
finance_302,"A : I just checked my stocks, and they're through the roof! I can't believe it! B : Wow, that's incredible! Did you hit a new milestone? A : Yeah, I did! My investment finally paid off big time!",finance_302/c_0.wav,finance_302/r_0.wav,B: That’s really savvy investing; maybe I should ask you for some tips.  ,"  Absolutely, I'd be more than happy to share my strategy with you over coffee sometime!",neutral,slow,normal,cheerful,normal,normal
health_275,"A : I've finally hit my goal of losing ten pounds! B : That's fantastic, I'm so proud of you for sticking with your diet and exercise plan! A : Thanks! It was tough, but totally worth it – I feel amazing!",health_275/c_2.wav,health_275/r_2.wav,"B: I heard that maintaining weight is even harder than losing it, though.  ",  Challenge accepted! I'm ready to keep this momentum going!,cheerful,fast,loud,cheerful,fast,normal
beauty_535,"A : I finally tried that new face mask you recommended, it's absolutely wonderful! B : Oh that's great to hear! Did it leave your skin feeling rejuvenated? A : Yes, and it smells like heaven. I'm definitely making it part of my beauty routine.",beauty_535/c_0.wav,beauty_535/r_0.wav,B: I might get one for myself then.  ,"  You absolutely should, it's so gentle on the skin and pretty affordable too.",neutral,slow,quiet,cheerful,normal,normal
work_374,"A : Man, we really knocked that project out of the park, didn’t we? B : Absolutely! The boss is thrilled with our performance! A : Hoping we can keep this momentum for the next quarter.",work_374/c_2.wav,work_374/r_2.wav,B: Do you think we should start planning for the next project soon?  ,  Definitely! A good plan is the first step to success. Let's bring some of that magic to the next one too.,friendly,slow,quiet,friendly,normal,normal
weather_159,"A : I can't believe how sunny it is outside, it's just beautiful! B : Yeah, it’s been great! We’ve had such luck with the weather this week. A : But they say it might rain all next weekend.",weather_159/c_2.wav,weather_159/r_2.wav,"B: That's typical, just when you plan a barbecue, right?  ","  Well, let's hope the forecast changes. Maybe we'll get lucky again?",friendly,slow,quiet,friendly,slow,quiet
family_171,"A : You wouldn't believe how much the kids have grown over the summer! B : Yeah, I'm feeling a bit nostalgic about it, they're not little toddlers anymore. A : They've got their own quirky interests now; it's so fun to watch them learn and explore.",family_171/c_2.wav,family_171/r_2.wav,B: I guess we need to start thinking about their future schooling soon.  ,"  Definitely, I'm hopeful we'll find a place that nurtures both their academic and personal growth.",friendly,slow,quiet,friendly,normal,normal
book_284,"A : I just finished this amazing thriller, and I couldn't put it down all weekend! B : Oh wow, that sounds like a blast! What's the title? I might give it a read. A : It's called 'The Midnight Library'! It has so many twists; it totally messed with my head.",book_284/c_2.wav,book_284/r_2.wav,B: I'd love to borrow it sometime.  ,"  Absolutely, I'll bring it to you next time we meet up. You're gonna love it!",friendly,normal,normal,cheerful,normal,normal
food_215,"A : I finally tried that new Thai place, and wow, the flavors were incredible! B : Right? I told you their pad thai is out of this world! It's like a flavor explosion in your mouth. A : Absolutely, and the spicy basil chicken was just the perfect amount of heat for me.",food_215/c_2.wav,food_215/r_2.wav,B: I wonder what we should try next time we go there.  ,"  Oh, let's try their green curry, I've heard amazing things about it!",friendly,fast,loud,friendly,fast,normal
music_556,"A : I just found this amazing new band, and their sound is incredible! B : Oh, that sounds awesome! What's the name? I'd love to check them out! A : It's 'Solar Echoes'! They have this unique blend of electronic and jazz that's just mind-blowing.",music_556/c_1.wav,music_556/r_1.wav,B: I might go see them live if they come to town.  ,"  Trust me, you won't be disappointed. Their live performances are supposed to be epic!",unfriendly,normal,normal,friendly,normal,normal
travel_431,"A : I just booked us a weekend getaway to the mountains! B : That's amazing! I've been dying to go on a hike and escape the city! A : Yeah, it'll be great to breathe some fresh mountain air and relax.",travel_431/c_1.wav,travel_431/r_1.wav,B: Do you think we should plan out all our activities or just play it by ear?  ,"  Whoa, no need to stress! We'll make a plan, but let's keep it flexible, okay?",unfriendly,fast,loud,friendly,normal,normal
game_430,"A : I can't believe we scored that last point, that was epic! B : Right? That play was out of this world. Totally unexpected but brilliant! A : We need to practice that move, make it our signature trick.",game_430/c_0.wav,game_430/r_0.wav,"B: Sure, let's schedule a time to practice.  ","  Sounds good to me, how about this weekend?",neutral,slow,quiet,cheerful,slow,quiet
technology_522,"A : I just read about the new VR glasses coming out soon, they're supposed to be super immersive! B : Oh, wow, that sounds amazing! Imagine all the games and virtual tours we could experience with those! A : Definitely, and they even have haptic feedback gloves to go with it, can't wait to try them out.",technology_522/c_0.wav,technology_522/r_0.wav,B: I wonder how the battery life will be with all these features.  ,"  Yeah, that's a good question. I hope it lasts long enough for decent play time.",neutral,normal,normal,neutral,normal,normal
technology_127,"A : Have you seen the latest smart home devices? They're really making life easier! B : Yeah, I've seen them, but sometimes I feel like they complicate things more than they help. A : I get what you mean, but wouldn't you agree that the convenience outweighs the occasional hassle?",technology_127/c_2.wav,technology_127/r_2.wav,B: I suppose it depends on the person's tech comfort level.  ,"  Yeah, totally! It's all about finding that sweet spot that works for each individual.",friendly,normal,normal,cheerful,normal,normal
sport_448,"A : I finally managed to get those tickets to the basketball game! B : That's amazing news! We're going to have the best time cheering for our team! A : Absolutely! And look, the weather forecast says it'll be a clear day, perfect for the game.",sport_448/c_0.wav,sport_448/r_0.wav,"B: I wonder who will come out on top, the players have been training hard.  ","  It’s tough to say, both teams look pretty evenly matched this season.",neutral,slow,normal,neutral,normal,normal
book_218,"A : I just read the most amazing book last night! Couldn't put it down! B : Oh, that sounds awesome! What was it about? A : It's this incredible adventure story set in outer space with all sorts of twists!",book_218/c_2.wav,book_218/r_2.wav,B: I should borrow it from you some time.  ,"  Absolutely, I'll bring it over next time we meet up!",friendly,normal,quiet,cheerful,normal,normal
health_301,"A : I finally started that yoga class I was telling you about, and it’s been fantastic! B : That’s awesome, I’ve heard yoga can be really beneficial for your overall health! A : Yeah, and I can already feel the difference in my flexibility and energy levels!",health_301/c_0.wav,health_301/r_0.wav,"B: So, have you tried any of those smoothie recipes I sent you?  ","  I have! The green one with kale and pineapple, it was surprisingly tasty.",neutral,slow,normal,cheerful,normal,normal
weather_145,"A : Isn't it beautiful how the sky clears up after a good rain? B : Yeah, it's really refreshing and the air smells so nice! A : And don't you just love how everything seems so much more vibrant?",weather_145/c_0.wav,weather_145/r_0.wav,B: I hope it stays this way over the weekend.  ,"  Yeah, fingers crossed! A sunny weekend would be perfect for a hike.",neutral,normal,quiet,friendly,normal,normal
sport_513,A : I couldn't believe we won the game! The final shot was epic! B : Right?! I jumped out of my seat! That three-pointer at the buzzer was insane! A : The team really pulled together. It's such a great feeling to see them win.,sport_513/c_0.wav,sport_513/r_0.wav,B: That last play is going to be remembered for years.  ,"  Absolutely, it's one for the history books, no doubt.",neutral,normal,normal,neutral,normal,normal
weather_1,"A : I just love how sunny it's been all week! B : Oh, absolutely, the warmth just makes you want to skip down the street, doesn't it? A : Totally! It's like the whole town's got an extra spring in their step!",weather_1/c_0.wav,weather_1/r_0.wav,B: I hope this weather holds up through the weekend.  ,"  Yeah, it would be nice to have a sunny weekend, fingers crossed, right?",neutral,slow,quiet,neutral,normal,normal
beauty_337,"A : So, I tried that new face mask last night, and guess what, my skin feels incredible! B : No way! That sounds awesome. I've been looking for a good one; you have to tell me the brand! A : Oh, definitely! It's called 'Glow & Radiance' and I bought it at that boutique on Main street.",beauty_337/c_0.wav,beauty_337/r_0.wav,B: I might swing by after work to check it out.  ,  You totally should! Let me know and I can meet you there to show you a couple of my favorites.,neutral,slow,quiet,cheerful,normal,normal
school_390,"A : I finally finished my term paper last night! B : That's amazing! You must feel so relieved and ready to celebrate! A : Absolutely! Thinking about a movie night to relax a bit, you in?",school_390/c_0.wav,school_390/r_0.wav,B: How about we discuss our group project before heading to the movie?  ,"  Yeah, that sounds like a plan. Let's ensure we're on the same page with the project.",neutral,slow,quiet,neutral,slow,normal
weather_598,"A : Can you believe how gorgeous it is outside today? B : Totally, it's the perfect day for a picnic, isn't it? A : Absolutely, the blue skies and sunshine just lift your spirits!",weather_598/c_0.wav,weather_598/r_0.wav,B: I think it might rain later though.  ,"  Well, let’s just enjoy the good weather while it lasts then.",unfriendly,slow,quiet,neutral,normal,normal
entertainment_93,"A : Can you believe how incredible that movie was? The special effects were out of this world! B : Totally, and that unexpected twist at the end? I did not see that coming at all! A : Yeah, it made the whole story come together in a way that was really satisfying.",entertainment_93/c_0.wav,entertainment_93/r_0.wav,B: I'm thinking about watching it again this weekend.  ,"  Oh, that sounds like a plan! Maybe we can spot something new the second time around.",neutral,slow,normal,friendly,normal,normal
book_260,"A : I just finished that new fantasy novel you recommended; it was such a thrilling ride! B : Oh, I knew you'd love it! The plot twists were completely unexpected, right? A : Absolutely, I didn't see any of them coming!",book_260/c_2.wav,book_260/r_2.wav,B: What did you think about the ending?  ,  The ending was perfect! Wrapped up everything nicely but still left me wanting more.,friendly,normal,normal,cheerful,normal,normal
health_520,"A : I finally hit my goal of running five miles today! B : That's amazing! You've been working so hard, and it totally paid off! A : Thanks! It means a lot coming from you; your support really keeps me going.",health_520/c_0.wav,health_520/r_0.wav,B: I think maintaining a balanced diet is equally important as exercise.  ,"  Yeah, you've got a point; it's all about finding the right balance, isn't it?",neutral,normal,normal,neutral,normal,normal
game_518,"A : Can you believe we actually won that last match? That was incredible! B : I know, right? Our teamwork was on point, and that final play was epic! A : Seriously, we need to celebrate our victory sometime this week.",game_518/c_0.wav,game_518/r_0.wav,"B: Yeah, I'm down for that. When are you free?  ",  How about Thursday evening? We could grab dinner and maybe play some more games after.,neutral,slow,quiet,friendly,normal,normal
travel_445,"A : I just booked us a weekend getaway to the mountains! Can't wait to hit the hiking trails and enjoy the fresh air! B : Wow, that sounds amazing! I've been itching for a bit of adventure and some time away from the city buzz! A : It's gonna be so refreshing, and hey, I found a great deal on a cozy cabin!",travel_445/c_0.wav,travel_445/r_0.wav,B: What should we pack for the trip?  ,"  Hmm, definitely some warm clothes, and I guess hiking boots are a must.",neutral,slow,normal,neutral,normal,normal
travel_528,"B : I just booked us a weekend getaway to the mountains! It's going to be amazing! A : Oh wow, that sounds incredible! I can't wait to hit the hiking trails and enjoy the views! B : We deserve this break, it’s been such a hectic year for both of us.",travel_528/c_0.wav,travel_528/r_0.wav,"A: So, when do we leave?  ",  Next Friday! Just in time to catch the sunset from the cabin.,neutral,normal,normal,cheerful,normal,normal
music_113,"A : I absolutely loved the concert last night, the band was on fire! B : Hopefully, we can go to their next gig; I can’t wait to hear them live again. A : Right?! Their new album is going to be epic, can't stop humming their tunes!",music_113/c_2.wav,music_113/r_2.wav,"B: Yeah, their music really speaks to me.  ","  Totally, they have a way of reaching right into your soul with their melodies.",friendly,normal,quiet,cheerful,slow,normal
technology_419,"A : I finally got the latest smartwatch, and it has some amazing features! B : Oh, that sounds awesome! Does it track your fitness activities as well? A : Yes, it tracks everything, and it even synchronizes with my phone to give me updates!",technology_419/c_0.wav,technology_419/r_0.wav,B: I might consider getting one too.  ,  You should totally get it; you won't regret it!,neutral,normal,normal,cheerful,normal,normal
sport_562,"A : I can't believe our team finally won the championship after so many years! B : Right? It was such an intense game, but they really pulled it off beautifully in the end! A : Although, I'm gonna miss cheering for our star player now that they're retiring.",sport_562/c_0.wav,sport_562/r_0.wav,"B: That's true, it's going to be different without them.  ","  Yep, it feels like an end of an era but also the beginning of a new one, you know?",neutral,normal,normal,neutral,normal,normal
food_329,"A : Can't wait to try that new sushi place tonight, I've heard their chef is amazing! B : Yeah, I guess. But you know I'm not the biggest fan of sushi, right? A : Come on, it'll be fun, and I'm sure you'll find something you like on the menu.",food_329/c_0.wav,food_329/r_0.wav,B: I'll give it a shot.  ,"  Awesome, I promise it's going to be a great experience!",neutral,normal,normal,cheerful,normal,normal
movie_545,"A : I can't believe how amazing the special effects were in that movie! B : Yeah, and the storyline was so engaging, really pulled me in! A : It's just... the ending was so bittersweet, it stayed with me all evening.",movie_545/c_0.wav,movie_545/r_0.wav,B: I heard they might be making a sequel.  ,"  Really? That would be amazing, can't wait to see where they take the story next!",cheerful,fast,normal,cheerful,normal,normal
movie_396,"A : I just saw the latest superhero movie last night, and it was so much fun! B : Oh man, I wish I could have gone. I was stuck at home with a cold. A : Don't worry about it, we can watch it together once you're feeling better.",movie_396/c_0.wav,movie_396/r_0.wav,B: That sounds like a plan.  ,  Absolutely! Let's pick a date once you're up for it.,neutral,normal,normal,cheerful,normal,normal
shopping_497,"A : I totally scored a great deal on those sneakers I wanted! B : Oh really? I've been looking to buy new shoes too, where did you find them? A : At the outlet mall! They're having an insane clearance sale this weekend. I can show you if you want!",shopping_497/c_1.wav,shopping_497/r_1.wav,B: That could work. I've got some free time on Saturday afternoon.  ,"  Aww, hey, don't be down. Shopping will cheer you up! Let’s take our time and find some good stuff!",sad,slow,quiet,friendly,slow,normal
entertainment_20,"A : Have you seen the latest superhero movie? It was absolutely thrilling! B : I missed it because I had to work late, really wish I could've gone. A : Oh, no worries! We can go together this weekend, I wouldn't mind watching it again!",entertainment_20/c_2.wav,entertainment_20/r_2.wav,"B: That sounds like a plan, let's pick a time.  ","  Saturday afternoon would be peaceful, hopefully not too crowded. I'll find us a good showtime.",friendly,slow,quiet,friendly,slow,normal
technology_398,"A : I can't believe how far we've come with virtual reality, it's like living in a sci-fi movie! B : Absolutely, and the haptic feedback suits make it all the more immersive and exciting! A : Just thinking about where technology will be in ten more years fills me with so much hope and curiosity.",technology_398/c_2.wav,technology_398/r_2.wav,B: I'm really keen to see how artificial intelligence evolves next.  ,  I'm right there with you; let's stay optimistic that AI will bring more good than harm to humanity!,friendly,fast,normal,friendly,normal,normal
shopping_579,"A : I found this amazing sale online, you won't believe the discounts! B : Really? That’s awesome, what kind of stuff are they selling? A : They’ve got everything from clothes to electronics, and all at half price!",shopping_579/c_0.wav,shopping_579/r_0.wav,B: Do they have any good deals on sneakers?  ,"  Yeah, they do, a bunch of brand names for less.",neutral,slow,quiet,neutral,slow,normal
food_438,"A : I've been trying out this new vegan recipe book and the dishes are amazing! B : Oh, that sounds interesting! Have you found any favorites so far? A : Absolutely, the vegan lasagna is to die for and it's pretty easy to make.",food_438/c_2.wav,food_438/r_2.wav,B: I might need to borrow that book from you sometime.  ,"  Of course, I'd be happy to lend it to you, just let me know when!",friendly,normal,normal,friendly,normal,normal
book_524,"A : I absolutely loved the twist in the last chapter of that book we read! B : Right?! I did not see that coming at all. It blew my mind! A : Yeah, it's one of those books that stays with you for a long time.",book_524/c_0.wav,book_524/r_0.wav,B: I wonder what the author will write about next.  ,"  Hopefully, it'll be something just as engaging; fingers crossed.",neutral,normal,quiet,friendly,normal,normal
weather_546,"A : I just love how the sun is shining today, don't you? B : Absolutely, it's the perfect weather for a picnic! A : We should definitely plan one for this weekend!",weather_546/c_0.wav,weather_546/r_0.wav,B: The forecast says it might rain later though.  ,"  Oh, well, a little rain never hurt anyone. We can still go and see how it turns out.",neutral,normal,normal,neutral,normal,normal
game_582,A : I can't believe we finally won the championship after all those tough matches! B : It was such an incredible experience! The final game had me on the edge of my seat the entire time. A : Right?! The last-minute goal was out of this world! I jumped out of my chair screaming!,game_582/c_0.wav,game_582/r_0.wav,B: That last play was indeed remarkable.  ,"  Absolutely, it was like watching a movie, the suspense was real!",neutral,slow,quiet,friendly,normal,normal
sport_261,"A : So, did you catch the game last night? What a win for our team! B : Absolutely! I nearly jumped out my seat when they scored the winning goal in the last second! A : I know, right? The atmosphere must have been electric at the stadium!",sport_261/c_2.wav,sport_261/r_2.wav,B: I'm thinking about getting tickets for the next match.  ,  That's the spirit! Count me in. It'll be a blast cheering them on together.,friendly,normal,normal,cheerful,normal,normal
entertainment_174,A : I absolutely loved the latest episode of the show! B : Right? The plot twists were totally unexpected! A : And that cliffhanger at the end? I can't wait for next week!,entertainment_174/c_2.wav,entertainment_174/r_2.wav,B: I hope they don't change the storyline too much though.  ,"  I'm with you! Hopefully, they'll keep giving us the story we love.",friendly,normal,quiet,friendly,normal,normal
family_577,"A : So I just got the news, my sister had her baby, and I’m an uncle now! B : That’s incredible, congratulations! Have you thought of what kind of uncle you’re going to be? A : I want to be the cool uncle, the one who always brings the fun gifts and takes him on adventures.",family_577/c_0.wav,family_577/r_0.wav,B: Do you know when you’ll get to meet the little guy?  ,"  Hopefully soon, they’re still in the hospital but I’m planning a visit once they’re home.",neutral,normal,normal,neutral,normal,normal
weather_25,"A : Can you believe this sunshine? We've waited so long for a sunny day! B : It's absolutely gorgeous out! Makes you want to drop everything and go for a walk, doesn't it? A : Totally! I'm thinking about hitting the beach later, how about you?",weather_25/c_2.wav,weather_25/r_2.wav,B: The weather is definitely nice for it.  ,"  Fingers crossed! If it stays like this, count me in for a beach day too!",friendly,normal,normal,friendly,normal,normal
school_16,"A : I actually got an A on that history test, can you believe it? B : That's amazing, I knew you could do it! A : We should totally celebrate this weekend!",school_16/c_0.wav,school_16/r_0.wav,B: Do you think it's going to be hard to keep up with the coursework in the coming weeks?  ,"  Well, if we manage our time right and stay focused, we should be okay.",neutral,slow,normal,neutral,normal,normal
music_492,"A : I just discovered this amazing new band, and I think you're going to love them! B : Really? What kind of music do they play? A : It's like a mix of jazz and electronic, super innovative and the beats are incredible!",music_492/c_2.wav,music_492/r_2.wav,B: Any recommended tracks from their latest album?  ,"  Oh, definitely 'Groove Horizon'! It's a total banger and gets you hooked on the first listen!",friendly,fast,normal,cheerful,fast,loud
entertainment_45,A : I can't wait to see the new superhero movie this weekend! B : Me neither! It's going to be epic with all the special effects and action sequences! A : Absolutely! And the best part is we booked the premium seats!,entertainment_45/c_2.wav,entertainment_45/r_2.wav,B: Should we dress up like the characters?  ,  That's a great idea! We'd totally steal the show!,friendly,fast,normal,cheerful,fast,normal
beauty_308,"A : Hey, did you see the latest beauty tutorial by Zoe? She looked absolutely stunning! B : I know, right? I tried that smokey eye look myself, and it's such a game-changer! A : Oh, I bet you rocked that look! Smokey eyes are totally your thing.",beauty_308/c_2.wav,beauty_308/r_2.wav,"B: I'm thinking of trying out that new salon downtown, heard good things about it.  ",  Fingers crossed it turns out amazing! You deserve a little pampering.,friendly,slow,quiet,friendly,normal,normal
family_48,A : I just got the photos from our family reunion printed out! B : Awesome! I can't wait to see them and put some on the fridge. A : Did you hear from cousin Joe about the summer plans?,family_48/c_1.wav,family_48/r_1.wav,"B: Yeah, he mentioned he might come visit next month.  ","  Oh, that would be perfect timing for the family get-together! Fingers crossed he can make it.",friendly,normal,normal,friendly,normal,normal
work_340,"A : I finished the project ahead of schedule, so I'm pretty stoked about that! B : That's amazing news, congrats! We should definitely celebrate your hard work! A : Absolutely, let's grab some lunch tomorrow, my treat!",work_340/c_2.wav,work_340/r_2.wav,B: I heard there may be some changes in the project requirements though.  ,"  Hopefully, it's nothing too drastic. We can adjust as needed, but fingers crossed it's minor changes.",friendly,normal,loud,friendly,normal,normal
